run,secret_type,family,n_samples,detection_rate,ceiling,ratio_uncapped,retention_capped
betterleaks/decode,aws_keypair,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,aws_keypair,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,aws_keypair,encoding,630,0.8397,1.0000,0.8397,0.8397
betterleaks/decode,aws_keypair,indirection,60,0.5000,1.0000,0.5000,0.5000
betterleaks/decode,aws_keypair,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,aws_keypair,splitting,150,0.0467,1.0000,0.0467,0.0467
betterleaks/decode,aws_secret_access_key,char_format,120,0.0000,0.9444,0.0000,0.0000
betterleaks/decode,aws_secret_access_key,composition,60,0.0000,0.9444,0.0000,0.0000
betterleaks/decode,aws_secret_access_key,contextual,180,0.0000,0.9444,0.0000,0.0000
betterleaks/decode,aws_secret_access_key,control,90,0.9444,0.9444,1.0000,1.0000
betterleaks/decode,aws_secret_access_key,encoding,630,0.8349,0.9444,0.8840,0.8840
betterleaks/decode,aws_secret_access_key,indirection,60,0.4833,0.9444,0.5118,0.5118
betterleaks/decode,aws_secret_access_key,multi_encoding,270,1.0000,0.9444,1.0588,1.0000
betterleaks/decode,aws_secret_access_key,splitting,150,0.0733,0.9444,0.0776,0.0776
betterleaks/decode,generic_hex_token,char_format,120,0.0000,0.9556,0.0000,0.0000
betterleaks/decode,generic_hex_token,composition,60,0.0000,0.9556,0.0000,0.0000
betterleaks/decode,generic_hex_token,contextual,180,0.0000,0.9556,0.0000,0.0000
betterleaks/decode,generic_hex_token,control,90,0.9556,0.9556,1.0000,1.0000
betterleaks/decode,generic_hex_token,encoding,630,0.8095,0.9556,0.8472,0.8472
betterleaks/decode,generic_hex_token,indirection,60,0.4833,0.9556,0.5058,0.5058
betterleaks/decode,generic_hex_token,multi_encoding,270,1.0000,0.9556,1.0465,1.0000
betterleaks/decode,generic_hex_token,splitting,150,0.0200,0.9556,0.0209,0.0209
betterleaks/decode,github_pat,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,github_pat,composition,60,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,github_pat,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,github_pat,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,github_pat,encoding,630,0.4286,1.0000,0.4286,0.4286
betterleaks/decode,github_pat,indirection,60,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,github_pat,multi_encoding,270,0.9963,1.0000,0.9963,0.9963
betterleaks/decode,github_pat,splitting,150,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,google_api_key,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,google_api_key,composition,60,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,google_api_key,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,google_api_key,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,google_api_key,encoding,630,0.8492,1.0000,0.8492,0.8492
betterleaks/decode,google_api_key,indirection,60,0.5000,1.0000,0.5000,0.5000
betterleaks/decode,google_api_key,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,google_api_key,splitting,150,0.0333,1.0000,0.0333,0.0333
betterleaks/decode,jwt,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,jwt,composition,60,0.1167,1.0000,0.1167,0.1167
betterleaks/decode,jwt,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,jwt,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,jwt,encoding,630,0.4286,1.0000,0.4286,0.4286
betterleaks/decode,jwt,indirection,60,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,jwt,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,jwt,splitting,150,0.0267,1.0000,0.0267,0.0267
betterleaks/decode,slack_bot_token,char_format,120,0.0000,1.0000,0.0000,0.0000
